factory,pool,token_x,token_y,bin_step,creation_block
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x4258119119557b43d61742132e6d446d7932d0cc,0x1bdd8878252daddd3af2ba30628813271294edc0,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,69675814
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x431b024f9177a7cbf7e87cece755a59894330633,0x41dad4ef454a6093d20bcc32e16894166633c14d,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,68014397
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x43f1f18908537a35f09c543c43e29436a1dd9f0a,0xe8b201be5357c07f0aa58693f98fb048323777f9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,73412726
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x451368c461f9f4a70c434576b31ed5f258e765f5,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0xcda86a272531e8640cd7f1a92c01839911b90bb0,100,69427042
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x45b376f13f8815e1c57703d1bf001077ef7ed362,0xc96de26018a54d51c097160568752c4e3bd6c364,0xcabae6f6ea1ecab08ad02fe02ce9a44f09aebfa2,2,66712377
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x485f804d37dbba93b931acf7d56cc538f97f0cae,0x623b81bd78e4442cdc3bea7d4f97a87425563202,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,73783466
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x48c1a89af1102cad358549e9bb16ae5f96cddfec,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,1,62270011
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x4a4fba148906cffd246ba0c2344eb48300e9db1d,0x93919784c523f39cacaa98ee0a9d96c3f32b593e,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,85003265
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x4a8308ffc6b89d2d24c16e19056e9cf3c09f7f12,0x52b7d8851d6ccbc6342ba0855be65f7b82a3f17f,0xcda86a272531e8640cd7f1a92c01839911b90bb0,100,77695884
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x4ee4ecb066eccf47c0231a5d27066dc56a4f6ad2,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,50,69260816
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x4f2833c5993a7dbcef486607727cd38a0592f3c2,0x58538e6a46e07434d7e7375bc268d3cb839c0133,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,64048524
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x517368c0ac4c21ac212ca613733c03a9a8f5332b,0x96630b0d78d29e7e8d87f8703de7c14b2d5ae413,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,71032573
